Leia,R2D2,ship
Leia,R2D2,ship
C3PO,R2D2,ship
C3PO,R2D2,Tatooine
Luke,R2D2,Tatooine
Luke,R2D2,Tatooine
Luke,R2D2,Tatooine
Luke,R2D2,Tatooine
Luke,R2D2,Tatooine
Luke,C3PO,Tatooine
Luke,C3PO,Tatooine
Luke,R2D2,Tatooine
Luke,Obi-wan,Tatooine
Luke,Obi-wan,Tatooine
Luke,Obi-wan,Tatooine
Luke,Obi-wan,Tatooine
Luke,C3PO,Tatooine
Luke,C3PO,Tatooine
Obi-wan,C3PO,Tatooine
Luke,C3PO,Tatooine
Obi-wan,R2D2,Tatooine
Luke,C3PO,Mos Eisley
Walrusman,Luke,Mos Eisley
Snaggletooth,Luke,Mos Eisley
Snaggletooth,Luke,Mos Eisley
Snaggletooth,Luke,Mos Eisley
Obi-wan,Snaggletooth,Mos Eisley
R2D2,C3PO,Death Star
Han,Luke,Death Star
Han,Chewie,Falcon
Obi-wan,R2D2,Falcon
Luke,Obi-wan,Falcon
Luke,Obi-wan,Falcon
Han,Luke,Falcon
Tarkin,Leia,Death Star
Leia,Vader,Death Star
Leia,Vader,Death Star
Obi-wan,Luke,Falcon
Obi-wan,Luke,Falcon
Obi-wan,Luke,Falcon
Luke,Han,Death Star
Luke,Chewie,Death Star
Han,Chewie,Death Star
Luke,Chewie,Death Star
Han,Chewie,Death Star
Luke,Chewie,Death Star
Han,Chewie,Death Star
Han,Chewie,Death Star
Han,Luke,Death Star
Han,Luke,Death Star
Han,Luke,Death Star
Han,Leia,Death Star
Han,Leia,Death Star
Han,Leia,Death Star
Han,Leia,Death Star
Luke,Leia,Death Star
Luke,Leia,Death Star
Luke,Leia,Death Star
Luke,Leia,Death Star
Obi-wan,Vader,Death Star
Chewie,Leia,Death Star
Leia,Luke,Death Star
Luke,Leia,Falcon
Luke,Leia,Yavin
Biggs,Luke,Yavin
Biggs,Luke,Yavin
Luke,Leia,Yavin
Luke,Leia,Yavin
Han,Leia,Yavin
Han,Leia,Yavin
Luke,Han,Yavin
Luke,C3PO,Yavin
Han,Leia,Yavin
Luke,Han,Yavin
